finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_finish_last3,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1.0,6,6,ピュアジャスミン,55.0,阪野学,1:03.8,,4.2,3.0,[地] 田中正二,2021100492,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,456.0,-2.0,1,1,4.6,3.67,39.82,0.1786,0,7,39.82,39.82,39.82,0.1786,39.82
2.0,3,3,ブラックモア,57.0,桑村真明,1:03.9,クビ,4.1,2.0,[地] 石本孝博,2021101516,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牡,3,498.0,-2.0,0,1,7.6,8.33,39.7,0.1163,0,11,39.7,39.7,39.7,0.1163,39.7
3.0,4,4,ハナカンザシ,55.0,亀井洋司,1:03.9,クビ,3.2,1.0,[地] 斉藤正弘,2021101978,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,450.0,0.0,0,1,6.0,6.5,38.25,0.1429,0,10,38.25,38.25,38.25,0.1429,38.25
4.0,5,5,ゴールデンアイル,53.0,阿岸潤一,1:04.0,3/4,6.4,4.0,[地] 黒川智貴,2021101144,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,434.0,4.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
5.0,6,7,クリーンブラボー,55.0,小野楓馬,1:04.1,1/2,13.2,6.0,[地] 川島雅人,2021100800,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,408.0,0.0,0,0,8.2,9.0,41.06,0.1087,0,8,41.06,41.06,41.06,0.1087,41.06
6.0,7,9,モーニングコスモス,53.0,宮内勇樹,1:04.6,2.1/2,86.8,10.0,[地] 川島洋人,2021102869,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,462.0,4.0,0,0,7.4,7.0,40.8,0.119,0,7,40.8,40.8,40.8,0.119,40.8
7.0,1,1,ビジューメファ,55.0,服部茂史,1:04.9,1.1/2,27.7,8.0,[地] 佐々木国,2021106533,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,408.0,-4.0,0,0,5.8,4.33,40.68,0.1471,0,6,40.68,40.68,40.68,0.1471,40.68
8.0,7,8,クロイバラ,55.0,黒澤愛斗,1:05.4,2.1/2,16.0,7.0,[地] 佐藤英明,2021107394,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,420.0,-4.0,0,0,8.0,7.33,39.38,0.1111,0,11,39.38,39.38,39.38,0.1111,39.38
9.0,8,10,エクラエル,55.0,落合玄太,1:05.6,1,44.9,9.0,[地] 小野望,2021105317,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,490.0,-10.0,0,0,8.75,8.33,41.2,0.1026,0,8,41.2,41.2,41.2,0.1026,41.2
10.0,8,11,エンジェルスラップ,55.0,石川倭,1:07.1,7,10.3,5.0,[地] 山口竜一,2021104249,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,420.0,6.0,0,0,5.2,5.33,37.54,0.1613,0,8,37.54,37.54,37.54,0.1613,37.54
11.0,2,2,ローズワンステラ,55.0,坂下秀樹,1:14.3,大,307.6,11.0,[地] 岡島玉一,2021102101,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:06.825878,牝,3,430.0,-10.0,0,0,6.5,8.0,38.67,0.1333,0,11,38.67,38.67,38.67,0.1333,38.67
1.0,5,5,ダバイカンティーク,55.0,服部茂史,1:52.8,,8.2,5.0,[地] 川島洋人,2021100664,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:39.559566,牝,3,428.0,0.0,1,1,9.8,9.67,41.14,0.0926,0,9,41.14,41.14,41.14,0.0926,41.14
2.0,4,4,ハナアヤメ,55.0,石川倭,1:54.0,6,3.4,2.0,[地] 米川昇,2021104394,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:39.559566,牝,3,526.0,18.0,0,1,5.0,6.33,39.42,0.1667,0,15,39.42,39.42,39.42,0.1667,39.42
3.0,7,7,マーニク,55.0,阿部龍,1:54.2,3/4,6.5,4.0,[地] 角川秀樹,2021103067,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-18T04:51:39.559566,牝,3,458.0,4.0,0,1,7.4,7.67,41.14,0.119,0,6,41.14,41.14,41.14,0.119,41.14
