finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1,7,8,バーリフレイバー,56,川島正太,1:18.5,,1.2,1,[地] 稲益貴弘,2021103726,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牡,3,508,0,1,1,1.4,-6.0,0.4166666666666667,0,1,-6.0,-6.0,-6.0,0.4166666666666667,-6.0
2,1,1,アラホーラダン,56,庄司大輔,1:19.1,3,9.2,3,[地] 山下貴之,2021101761,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牡,3,498,-4,0,1,3.3333333333333335,5.0,0.23076923076923073,0,3,5.0,5.0,5.0,0.23076923076923073,5.0
3,5,5,ナイトレインボー,56,山中悠希,1:19.1,アタマ,43.6,7,[地] 矢野義幸,2021107305,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牡,3,498,4,0,1,10.2,-14.0,0.08928571428571429,0,11,-14.0,-14.0,-14.0,0.08928571428571429,-14.0
4,8,10,マルコスター,56,山本聡紀,1:20.0,4,25.2,5,[地] 渋谷信博,2021100110,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牡,3,530,8,0,0,5.4,8.0,0.15625,0,2,8.0,8.0,8.0,0.15625,8.0
5,6,6,マイラブホウセイ,54,山崎誠士,1:20.2,1,91.2,8,[地] 坂本昇,2021101976,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牝,3,483,3,0,0,5.0,-29.0,0.16666666666666666,0,1,-29.0,-29.0,-29.0,0.16666666666666666,-29.0
6,2,2,ファルコンベガ,56,笹川翼,1:20.5,1.1/2,5.7,2,[地] 斉藤敏,2021100333,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牡,3,498,-3,0,0,5.8,0.0,0.14705882352941177,0,9,0.0,0.0,0.0,0.14705882352941177,0.0
7,3,3,ビーヴィーヴォ,56,小杉亮,1:20.7,1,117.9,9,[地] 伊藤滋規,2021106030,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牡,3,441,-11,0,0,6.4,-5.0,0.13513513513513511,0,5,-5.0,-5.0,-5.0,0.13513513513513511,-5.0
8,4,4,プレストスナイパー,53,山本大翔,1:21.7,5,169.5,10,[地] 玉井勝,2021104364,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牡,3,514,25,0,0,6.6,6.0,0.13157894736842105,0,5,6.0,6.0,6.0,0.13157894736842105,6.0
9,8,9,トピアリーガーデン,54,西村栄喜,1:24.2,大,37.8,6,[地] 矢内博,2021100040,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牝,3,485,0,0,0,7.0,-14.0,0.125,0,8,-14.0,-14.0,-14.0,0.125,-14.0
10,7,7,ビッグサンダー,53,木間塚龍,1:25.7,7,21.5,4,[地] 矢野義幸,2021107333,202443050301,3歳十｜2024年5月3日 | 競馬データベース - netkeiba,2026-05-16T16:35:35.127210,牝,3,518,0,0,0,5.2,-8.0,0.16129032258064516,0,10,-8.0,-8.0,-8.0,0.16129032258064516,-8.0
