finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_finish_last3,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1.0,7,14,サンディブロンド,55.0,戸崎圭太,1:12.6,,4.2,3.0,[東] 田中博康,2021105821,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牝,3,466.0,-12.0,1,1,9.8,12.0,38.2,0.0926,0,14,38.2,38.2,38.2,0.0926,38.2
2.0,4,7,マイネルディレクト,57.0,丹内祐次,1:12.8,1,8.4,5.0,[東] 高橋裕,2021106805,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牡,3,496.0,6.0,0,1,9.4,9.67,37.54,0.0962,0,15,37.54,37.54,37.54,0.0962,37.54
3.0,8,16,セイウンチドリ,55.0,三浦皇成,1:13.2,2.1/2,15.3,6.0,[東] 村田一誠,2021102685,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牝,3,446.0,-6.0,0,1,8.0,10.67,36.72,0.1111,0,14,36.72,36.72,36.72,0.1111,36.72
4.0,2,4,グリントリッター,57.0,石川裕紀,1:13.2,クビ,3.9,2.0,[東] 深山雅史,2021100328,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,セ,3,420.0,2.0,0,0,4.4,4.67,40.08,0.1852,0,9,40.08,40.08,40.08,0.1852,40.08
5.0,6,12,マニーブルース,57.0,吉田豊,1:13.3,1,50.9,9.0,[東] 小手川準,2021102752,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牡,3,458.0,4.0,0,0,8.6,8.0,41.1,0.1042,0,6,41.1,41.1,41.1,0.1042,41.1
6.0,8,15,ニシノリピート,55.0,田辺裕信,1:13.7,2.1/2,42.5,8.0,[東] 小島茂之,2021100402,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牝,3,462.0,0.0,0,0,5.4,6.0,40.2,0.1562,0,7,40.2,40.2,40.2,0.1562,40.2
7.0,1,2,ミッキードラマー,57.0,菊沢一樹,1:13.7,クビ,7.8,4.0,[東] 菊沢隆徳,2021104782,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牡,3,528.0,4.0,0,0,12.0,11.33,38.24,0.0769,0,11,38.24,38.24,38.24,0.0769,38.24
8.0,6,11,イデアガウディ,57.0,横山武史,1:13.9,3/4,3.3,1.0,[東] 中野栄治,2021103105,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牡,3,484.0,6.0,0,0,5.6,5.67,36.48,0.1515,0,1,36.48,36.48,36.48,0.1515,36.48
9.0,5,9,サナダ,56.0,佐々木大,1:14.1,1.1/2,15.8,7.0,[東] 杉浦宏昭,2021101169,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牡,3,486.0,0.0,0,0,7.67,7.67,40.7,0.1153,0,12,40.7,40.7,40.7,0.1153,40.7
10.0,7,13,クインタレッリ,56.0,永野猛蔵,1:14.6,3,125.7,12.0,[東] 尾形和幸,2021102792,202406010101,3歳未勝利｜2024年1月6日 | 競馬データベース - netkeiba,2026-05-20T14:29:04.327585,牡,3,502.0,10.0,0,0,6.2,8.33,38.76,0.1389,0,8,38.76,38.76,38.76,0.1389,38.76
