finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_finish_last3,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1,4,4,オメガリッチマン,60,高田潤,3:25.2,,3.5,2,[西] 安田翔伍,2020102800,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,4,446,-2,1,1,4.6,5.0,0.0,0.1786,69,8,0.0,0.0,0.0,0.1786,0.0
2,1,1,プリモスペランツァ,60,田村太雅,3:25.4,1.1/2,3.1,1,[西] 中竹和也,2019100108,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,5,500,-6,0,1,3.4,2.67,37.7,0.2273,20,1,37.7,37.7,37.7,0.2273,37.7
3,8,10,ヴラディア,60,上野翔,3:25.6,1,19.9,7,[東] 小西一男,2019105578,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,5,496,2,0,1,6.8,5.67,0.0,0.1282,27,5,0.0,0.0,0.0,0.1282,0.0
4,5,5,インディゴブラック,60,小坂忠士,3:25.7,1/2,10.0,6,[西] 奥村豊,2019105143,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,セ,5,512,2,0,0,6.2,8.0,40.4,0.1389,55,15,40.4,40.4,40.4,0.1389,40.4
5,2,2,インプレス,60,小牧加矢,3:26.4,4,5.1,3,[西] 佐々木晶,2019104899,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,5,526,-12,0,0,1.4,1.67,0.0,0.4167,28,1,0.0,0.0,0.0,0.4167,0.0
6,7,7,キタノブレイド,60,石神深一,3:27.2,5,6.4,4,[東] 萱野浩二,2019100510,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,5,476,4,0,0,10.2,9.0,39.36,0.0893,27,9,39.36,39.36,39.36,0.0893,39.36
7,3,3,コルドゥーン,60,伴啓太,3:27.9,4,121.9,8,[東] 石栗龍彦,2016103092,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,8,474,12,0,0,7.75,11.5,0.0,0.1143,69,10,0.0,0.0,0.0,0.1143,0.0
8,7,8,フジフォンテ,60,大江原圭,3:28.8,5,163.3,10,[東] 粕谷昌央,2019105759,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,5,464,-4,0,0,5.2,4.33,0.0,0.1613,20,7,0.0,0.0,0.0,0.1613,0.0
9,6,6,スペキュレーター,60,江田勇亮,3:30.1,8,146.9,9,[東] 伊藤伸一,2019102792,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,5,506,22,0,0,7.6,8.0,40.56,0.1163,209,7,40.56,40.56,40.56,0.1163,40.56
10,8,9,ダノンジャッカル,60,西谷誠,3:30.4,1.3/4,7.5,5,[西] 中内田充,2019103005,202405030101,障害3歳以上未勝利｜2024年6月1日 | 競馬データベース - netkeiba,2026-05-21T03:39:10.178637,牡,5,462,12,0,0,5.6,6.67,36.6,0.1515,210,11,36.6,36.6,36.6,0.1515,36.6
