finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_finish_last3,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1,3,3,ソウキュウ,55,丸山元気,1:55.2,,13.8,6,[東] 高木登,2021106800,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,476,0,1,1,9.6,12.33,40.36,0.0943,0,9,40.36,40.36,40.36,0.0943,40.36
2,8,13,カンバーランド,55,斎藤新,1:55.4,1.1/2,2.9,1,[西] 高橋義忠,2021105709,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,538,6,0,1,9.8,13.67,41.84,0.0926,0,14,41.84,41.84,41.84,0.0926,41.84
3,6,9,ライトピラー,55,大野拓弥,1:55.4,アタマ,5.7,4,[東] 村田一誠,2021101204,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,484,-12,0,1,1.0,1.0,39.82,0.5,0,1,39.82,39.82,39.82,0.5,39.82
4,5,8,イッツナッシング,55,丹内祐次,1:55.9,3,4.0,2,[東] 水野貴広,2021103040,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,428,-2,0,0,4.2,4.0,39.86,0.1923,0,5,39.86,39.86,39.86,0.1923,39.86
5,8,14,ファイアンス,54,佐々木大,1:56.3,2,4.4,3,[東] 武市康男,2021106454,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,458,4,0,0,7.6,8.0,38.7,0.1163,0,8,38.7,38.7,38.7,0.1163,38.7
6,2,2,ハヤブサキンチャン,51,小林美駒,1:56.8,3,13.6,5,[東] 稲垣幸雄,2021106579,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,466,2,0,0,4.6,4.0,39.44,0.1786,0,5,39.44,39.44,39.44,0.1786,39.44
7,3,4,タガノラデツキー,55,城戸義政,1:57.0,1.1/2,237.5,11,[西] 高橋一哉,2021106556,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,476,0,0,0,9.67,9.67,39.37,0.0937,0,10,39.37,39.37,39.37,0.0937,39.37
8,7,11,フェリマール,55,小崎綾也,1:57.2,1.1/4,394.2,14,[西] 中尾秀正,2021104171,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,458,12,0,0,7.0,6.0,40.38,0.125,0,11,40.38,40.38,40.38,0.125,40.38
9,4,6,スターティアラ,55,亀田温心,1:57.4,1.1/4,370.3,13,[西] 高柳大輔,2021106676,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,456,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
10,5,7,サイキョウサイコウ,52,石田拓郎,1:58.0,3.1/2,258.7,12,[東] 萱野浩二,2021100881,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,406,-2,0,0,6.8,7.0,40.86,0.1282,0,7,40.86,40.86,40.86,0.1282,40.86
11,6,10,サダージ,52,小林勝太,1:58.3,1.3/4,194.9,10,[東] 池上昌和,2021100011,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,438,6,0,0,7.6,6.33,39.83,0.1163,0,11,39.83,39.83,39.83,0.1163,39.83
12,4,5,タンドレス,53,永島まな,1:58.5,1.1/2,34.1,8,[西] 吉田直弘,2021104593,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,448,2,0,0,12.33,12.33,40.3,0.075,0,14,40.3,40.3,40.3,0.075,40.3
13,7,12,アイリュール,55,松岡正海,1:59.9,8,19.9,7,[東] 田中剛,2021106255,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,462,-4,0,0,4.25,3.5,38.83,0.1905,0,1,38.83,38.83,38.83,0.1905,38.83
14,1,1,サイモンベーネ,54,松本大輝,2:03.9,大,44.2,9,[西] 羽月友彦,2021102216,202404010401,3歳未勝利｜2024年5月5日 | 競馬データベース - netkeiba,2026-05-18T03:45:43.764673,牝,3,424,-4,0,0,11.25,11.67,41.5,0.0816,0,16,41.5,41.5,41.5,0.0816,41.5
