着 順,枠 番,馬 番,horse_name,性齢,weight_carried,jockey,タイム,着差,odds,人 気,trainer,race_id,race_title,scraped_at,horse_weight,horse_weight_diff
1,5,9,テンハッピーローズ,牝6,56,津村明秀,1:31.8,,208.6,14,[西] 高柳大輔,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,458,-4
2,2,2,フィアスプライド,牝6,56,ルメール,1:32.0,1.1/4,12.5,4,[東] 国枝栄,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,470,-8
3,4,6,マスクトディーヴァ,牝4,56,モレイラ,1:32.0,クビ,2.3,1,[西] 辻野泰之,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,454,-2
4,8,15,ドゥアイズ,牝4,56,鮫島克駿,1:32.1,クビ,65.8,11,[西] 庄野靖志,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,472,4
5,6,11,ルージュリナージュ,牝5,56,横山和生,1:32.2,1/2,112.1,13,[東] 宗像義忠,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,448,2
6,3,5,ウンブライル,牝4,56,川田将雅,1:32.2,アタマ,9.4,3,[東] 木村哲也,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,474,-2
7,7,13,モリアーナ,牝4,56,横山典弘,1:32.3,1/2,19.3,6,[東] 武藤善則,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,488,6
8,6,10,ナミュール,牝5,56,武豊,1:32.3,クビ,2.5,2,[西] 高野友和,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,452,0
9,2,3,スタニングローズ,牝5,56,西村淳也,1:32.6,1.1/2,17.8,5,[西] 高野友和,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,490,0
10,5,8,サウンドビバーチェ,牝5,56,松山弘平,1:32.7,3/4,82.7,12,[西] 高柳大輔,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,506,0
11,7,12,キタウイング,牝4,56,杉原誠人,1:32.9,1.1/4,337.9,15,[東] 小島茂之,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,444,6
12,8,14,フィールシンパシー,牝5,56,横山琉人,1:33.0,1/2,56.9,10,[東] 小島茂之,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,456,2
13,3,4,コンクシェル,牝4,56,岩田望来,1:33.5,3,29.8,7,[西] 清水久詞,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,476,2
14,1,1,ライラック,牝5,56,戸崎圭太,1:33.7,1.1/2,56.7,9,[東] 相沢郁,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,440,8
15,4,7,ハーパー,牝4,56,池添謙一,1:33.9,1.1/2,36.2,8,[西] 友道康夫,202405020811,ヴィクトリアマイル｜2024年5月12日 | 競馬データベース - netkeiba,2026-05-16T06:23:12.305820,468,-2
