source,target,target_kind
core.__init__,execution.bet_executor,external
core.adaptation.auto_evolver,learning.performance_analyzer,research
core.adaptation.auto_evolver,learning.strategy_updater,research
core.adaptation.auto_retrainer,core.prediction.predictor,production
core.adaptation.auto_retrainer,core.prediction.regime_detector,production
core.adaptation.auto_retrainer,validation.walk_forward_validation,production
core.adaptation.meta_learner,learning.meta_learner,research
core.adaptation.self_modifier,core.alert_manager,support
core.adaptation.self_modifier,core.audit_logger,support
core.adaptation.self_modifier,core.survival_policy,support
core.adaptation.self_modifier,infrastructure.database,production
core.adaptation.strategy_evolver,learning.strategy_evolver,research
core.alert_manager,core.monitoring.alert_manager,support
core.alignment.alignment_constitution,core.alert_manager,support
core.alignment.alignment_constitution,core.audit_logger,support
core.alignment.alignment_constitution,infrastructure.database,production
core.alignment.governance_engine,core.alignment.alignment_constitution,research
core.alignment_constitution,core.alert_manager,support
core.alignment_constitution,core.alignment.alignment_constitution,research
core.alignment_constitution,core.audit_logger,support
core.alignment_constitution,infrastructure.database,production
core.audit_logger,core.monitoring.audit_logger,support
core.auto_operator,core.evolution.diagnosis_engine,research
core.auto_operator,core.evolution.evolution_engine,research
core.auto_operator,core.evolution.global_fitness,research
core.auto_operator,core.regime_detector,support
core.auto_retrainer,core.adaptation.auto_retrainer,research
core.auto_retrainer,core.predictor,support
core.auto_retrainer,core.regime_detector,support
core.auto_retrainer,validation.walk_forward_validation,production
core.autonomous_researcher,core.alert_manager,support
core.autonomous_researcher,core.audit_logger,support
core.autonomous_researcher,core.knowledge_graph,support
core.autonomous_researcher,core.meta_cognition,shadow_wrapper
core.autonomous_researcher,core.research.autonomous_researcher,support
core.autonomous_researcher,infrastructure.database,production
core.bet_sizer,core.betting.bet_sizer,production
core.betting.decision_engine,core.betting.uncertainty_bankroll_manager,production
core.betting.decision_engine,core.betting.uncertainty_filter,production
core.betting.decision_engine,core.prediction.calibration,production
core.betting.decision_engine,core.prediction.edge_calculator,production
core.betting.decision_engine,core.prediction.edge_quality_filter,production
core.betting.decision_engine,learning.uncertainty,research
core.betting.defensive_mode_controller,core.betting.uncertainty_monitor,production
core.betting.uncertainty_bankroll_manager,core.betting.defensive_mode_controller,production
core.betting.uncertainty_bankroll_manager,core.betting.risk_manager,production
core.betting.uncertainty_bankroll_manager,core.betting.uncertainty_monitor,production
core.betting.uncertainty_bankroll_manager,core.betting.uncertainty_sizing,production
core.capital_allocator,core.portfolio_allocator,support
core.causal_engine,core.alert_manager,support
core.causal_engine,core.audit_logger,support
core.causal_engine,core.knowledge.causal_engine,support
core.causal_engine,infrastructure.database,production
core.civilization_immune_system,core.alert_manager,support
core.civilization_immune_system,core.alignment_constitution,shadow_wrapper
core.civilization_immune_system,core.audit_logger,support
core.civilization_immune_system,core.immune.civilization_immune_system,research
core.civilization_immune_system,core.meta_cognition,shadow_wrapper
core.civilization_immune_system,infrastructure.database,production
core.civilization_memory,core.alert_manager,support
core.civilization_memory,core.audit_logger,support
