module,kind,outgoing,incoming,research_edges,production_edges,cycle_member,shadow_wrapper,risk_score,production_readiness
core.self_modifier,shadow_wrapper,5,4,1,1,False,True,100,0
core.meta_controller,shadow_wrapper,1,0,1,0,False,True,100,0
core.meta_cognition,shadow_wrapper,6,8,2,1,False,True,100,0
core.future_synthesis_engine,shadow_wrapper,7,2,1,1,False,True,100,0
core.future_engine,shadow_wrapper,5,1,1,1,False,True,100,0
core.civilization_orchestrator,shadow_wrapper,10,0,2,1,False,True,100,0
core.civilization_immune_system,shadow_wrapper,6,2,2,1,False,True,100,0
core.auto_retrainer,shadow_wrapper,4,1,1,1,False,True,100,0
core.alignment_constitution,shadow_wrapper,4,6,1,1,False,True,100,0
strategies.wide_ai,research,1,0,0,0,False,False,55,45
strategies.market_ai,research,1,0,0,0,False,False,55,45
strategies.explorer_ai,research,1,0,0,0,False,False,55,45
strategies.__init__,research,0,0,0,0,False,False,55,45
meta.regime_director,research,0,0,0,0,False,False,55,45
meta.portfolio_manager,research,0,1,0,0,False,False,55,45
meta.ai_evaluator,research,0,1,0,0,False,False,55,45
learning.walk_forward,research,0,0,0,0,False,False,55,45
learning.updater,research,1,0,1,0,False,False,55,45
learning.uncertainty,research,0,8,0,0,False,False,55,45
learning.trainer,research,1,2,1,0,False,False,55,45
learning.strategy_updater,research,0,3,0,0,False,False,55,45
learning.strategy_evolver,research,1,4,0,1,False,False,55,45
learning.roi_analyzer,research,1,1,1,0,False,False,55,45
learning.reliability_curve,research,0,2,0,0,False,False,55,45
learning.performance_analyzer,research,1,7,0,1,False,False,55,45
learning.monte_carlo,research,0,1,0,0,False,False,55,45
learning.model_factory,research,0,5,0,0,False,False,55,45
learning.meta_learner,research,0,4,0,0,False,False,55,45
learning.kelly_adaptation,research,0,0,0,0,False,False,55,45
learning.edge_feedback,research,0,0,0,0,False,False,55,45
learning.brier_score,research,0,3,0,0,False,False,55,45
learning.auto_evolver,research,2,0,2,0,False,False,55,45
learning.__init__,research,0,0,0,0,False,False,55,45
core.memory.state_manager,research,0,1,0,0,False,False,55,45
core.memory.semantic_memory,research,1,0,0,0,False,False,55,45
core.memory.memory_index,research,0,0,0,0,False,False,55,45
core.memory.memory_consolidation,research,1,0,0,0,False,False,55,45
core.memory.episodic_memory,research,1,0,0,0,False,False,55,45
core.memory.civilization_memory,research,3,1,0,1,False,False,55,45
core.memory.__init__,research,0,0,0,0,False,False,55,45
core.immune.quarantine_manager,research,0,0,0,0,False,False,55,45
core.immune.integrity_verifier,research,0,0,0,0,False,False,55,45
core.immune.corruption_detector,research,0,0,0,0,False,False,55,45
core.immune.civilization_immune_system,research,5,1,1,1,False,False,55,45
core.immune.anomaly_detector,research,0,0,0,0,False,False,55,45
core.immune.__init__,research,0,0,0,0,False,False,55,45
core.future.scenario_generator,research,0,0,0,0,False,False,55,45
core.future.long_horizon_planner,research,0,0,0,0,False,False,55,45
core.future.future_synthesis_engine,research,6,1,0,1,False,False,55,45
core.future.future_engine,research,4,2,0,1,False,False,55,45
core.future.existential_mapper,research,0,0,0,0,False,False,55,45
core.future.__init__,research,0,0,0,0,False,False,55,45
core.evolution.model_registry,research,0,1,0,0,False,False,55,45
core.evolution.global_fitness,research,0,3,0,0,False,False,55,45
core.evolution.evolution_engine,research,3,3,3,0,False,False,55,45
core.evolution.diagnosis_engine,research,0,3,0,0,False,False,55,45
core.evolution.__init__,research,3,0,3,0,False,False,55,45
core.cognition.uncertainty_engine,research,0,0,0,0,False,False,55,45
core.cognition.self_awareness_engine,research,0,0,0,0,False,False,55,45
core.cognition.self_awareness,research,0,0,0,0,False,False,55,45
core.cognition.reflection_engine,research,0,0,0,0,False,False,55,45
core.cognition.meta_controller,research,0,3,0,0,False,False,55,45
core.cognition.meta_cognition,research,5,1,1,1,False,False,55,45
core.cognition.meta_ai,research,0,0,0,0,False,False,55,45
core.cognition.cognitive_state.,research,0,0,0,0,False,False,55,45
core.cognition.cognition,research,0,0,0,0,False,False,55,45
core.cognition.__init__,research,0,0,0,0,False,False,55,45
core.civilization_strategy_engine,research,9,0,3,1,False,False,55,45
core.civilization_memory,research,4,2,1,1,False,False,55,45
core.alignment.policy_validator,research,0,0,0,0,False,False,55,45
core.alignment.governance_engine,research,1,1,1,0,False,False,55,45
core.alignment.constitutional_rules,research,0,0,0,0,False,False,55,45
core.alignment.alignment_constitution,research,3,2,0,1,False,False,55,45
core.alignment.__init__,research,0,0,0,0,False,False,55,45
core.adaptation.strategy_evolver,research,1,0,1,0,False,False,55,45
core.adaptation.self_modifier,research,4,1,0,1,False,False,55,45
core.adaptation.recursive_optimizer,research,0,0,0,0,False,False,55,45
core.adaptation.meta_learner,research,1,0,1,0,False,False,55,45
core.adaptation.auto_retrainer,research,3,2,0,3,False,False,55,45
core.adaptation.auto_evolver,research,2,2,2,0,False,False,55,45
core.adaptation.__init__,research,0,0,0,0,False,False,55,45
simulation.live_simulation,production,8,4,3,4,False,False,40,60
main,production,8,1,7,0,False,False,40,60
core.auto_operator,production,4,1,3,0,False,False,40,60
validation.walk_forward_validation,production,2,3,2,0,False,False,30,70
infrastructure.api_server,production,7,0,2,0,False,False,30,70
execution.phase2_loop,production,2,1,2,0,False,False,30,70
dashboard.app,production,3,0,1,0,False,False,20,80
core.prediction.predictor,production,2,3,1,0,False,False,20,80
core.betting.decision_engine,production,6,1,1,5,False,False,20,80
infrastructure.database,production,0,35,0,0,False,False,15,85
validation.__init__,production,0,0,0,0,False,False,10,90
infrastructure.worker_node,production,4,1,0,2,False,False,10,90
infrastructure.task_queue,production,3,1,0,1,False,False,10,90
infrastructure.orchestrator,production,6,0,0,3,False,False,10,90
infrastructure.cluster_manager,production,3,1,0,1,False,False,10,90
execution.result_input,production,0,0,0,0,False,False,10,90
execution.race_runner,production,2,0,0,1,False,False,10,90
dashboard.streamlit_app,production,0,0,0,0,False,False,10,90
dashboard.control_panel,production,1,0,0,0,False,False,10,90
core.system_orchestrator,production,4,3,0,1,False,False,10,90
core.security.sandbox_manager,production,0,0,0,0,False,False,10,90
core.security.emergency_shutdown,production,0,1,0,0,False,False,10,90
core.security.cryptographic_integrity,production,0,0,0,0,False,False,10,90
core.security.authorization,production,0,0,0,0,False,False,10,90
core.security.authentication,production,0,0,0,0,False,False,10,90
core.security.attack_surface_monitor,production,0,0,0,0,False,False,10,90
core.security.__init__,production,0,0,0,0,False,False,10,90
