race_id,race_title,horse_name,odds,pred_prob,expected_value,actual_pos,hit,pnl
202401010101,2歳未勝利｜2024年7月20日 | 競馬データベース - netkeiba,ロードヴァルカン,21.3,0.5867,12.497,5,False,-1.0
202401010105,2歳新馬｜2024年7月20日 | 競馬データベース - netkeiba,イフウドウドウ,5.3,0.6191,3.281,9,False,-1.0
202401010108,3歳以上1勝クラス｜2024年7月20日 | 競馬データベース - netkeiba,アイスリンディ,17.7,0.594,10.514,9,False,-1.0
202401010111,TVh賞｜2024年7月20日 | 競馬データベース - netkeiba,エイシンフェンサー,4.5,0.6207,2.793,1,True,3.5
202401010201,2歳未勝利｜2024年7月21日 | 競馬データベース - netkeiba,トゥインクルアップ,19.6,0.5902,11.568,4,False,-1.0
202401010203,3歳未勝利｜2024年7月21日 | 競馬データベース - netkeiba,ミニマルデザイン,15.8,0.5979,9.447,11,False,-1.0
202401010204,3歳未勝利｜2024年7月21日 | 競馬データベース - netkeiba,アドアプローズ,47.4,0.534,25.312,6,False,-1.0
202401010205,2歳新馬｜2024年7月21日 | 競馬データベース - netkeiba,キングスコール,5.7,0.6183,3.524,1,True,4.7
202401010209,HBC賞｜2024年7月21日 | 競馬データベース - netkeiba,ミズノコキュウ,22.0,0.5853,12.877,4,False,-1.0
202401010210,大倉山特別｜2024年7月21日 | 競馬データベース - netkeiba,ゴールデンマイク,41.0,0.5469,22.423,8,False,-1.0
202401010301,2歳未勝利｜2024年7月27日 | 競馬データベース - netkeiba,ガンバルマン,12.6,0.6043,7.614,6,False,-1.0
202401010303,3歳未勝利｜2024年7月27日 | 競馬データベース - netkeiba,ヘザルフェン,5.4,0.6189,3.342,2,False,-1.0
202401010305,2歳新馬｜2024年7月27日 | 競馬データベース - netkeiba,アルハイルフォート,16.5,0.5965,9.842,7,False,-1.0
202401010308,3歳以上1勝クラス｜2024年7月27日 | 競馬データベース - netkeiba,リュクスドレフォン,8.4,0.6128,5.148,3,False,-1.0
202401010309,積丹特別｜2024年7月27日 | 競馬データベース - netkeiba,アスクナサニエル,44.9,0.5391,24.206,8,False,-1.0
202401010310,摩周湖特別｜2024年7月27日 | 競馬データベース - netkeiba,メタルスピード,7.7,0.6142,4.729,2,False,-1.0
202401010312,3歳以上2勝クラス｜2024年7月27日 | 競馬データベース - netkeiba,スコーピオン,10.2,0.6092,6.214,3,False,-1.0
202401010402,3歳未勝利｜2024年7月28日 | 競馬データベース - netkeiba,テイエムタリスマ,4.0,0.6217,2.487,1,True,3.0
202401010403,3歳未勝利｜2024年7月28日 | 競馬データベース - netkeiba,メネラオス,29.5,0.5701,16.818,9,False,-1.0
202401010407,3歳以上1勝クラス｜2024年7月28日 | 競馬データベース - netkeiba,エリカエスティーム,4.8,0.6201,2.976,9,False,-1.0
202401010408,3歳以上1勝クラス｜2024年7月28日 | 競馬データベース - netkeiba,ロードトレイル,5.5,0.6187,3.403,1,True,4.5
202401010409,阿寒湖特別｜2024年7月28日 | 競馬データベース - netkeiba,マイネルメサイア,48.4,0.532,25.749,10,False,-1.0
202401010502,3歳未勝利｜2024年8月3日 | 競馬データベース - netkeiba,ハテナビト,32.0,0.5651,18.083,10,False,-1.0
202401010503,3歳未勝利｜2024年8月3日 | 競馬データベース - netkeiba,アークレアル,27.5,0.5742,15.791,5,False,-1.0
202401010505,2歳新馬｜2024年8月3日 | 競馬データベース - netkeiba,マサノイロハ,44.0,0.5409,23.8,7,False,-1.0
202401010506,3歳未勝利｜2024年8月3日 | 競馬データベース - netkeiba,レイピカケ,5.9,0.6179,3.646,3,False,-1.0
202401010507,3歳以上1勝クラス｜2024年8月3日 | 競馬データベース - netkeiba,シンゼンシャイン,21.3,0.5867,12.497,3,False,-1.0
202401010509,旭川特別｜2024年8月3日 | 競馬データベース - netkeiba,ブルーミンデザイン,6.2,0.6173,3.827,1,True,5.2
202401010511,札幌日経オープン｜2024年8月3日 | 競馬データベース - netkeiba,ディナースタ,3.9,0.6219,2.425,10,False,-1.0
202401010512,3歳以上1勝クラス｜2024年8月3日 | 競馬データベース - netkeiba,クォーツァイト,10.7,0.6082,6.508,1,True,9.7
202401010601,2歳未勝利｜2024年8月4日 | 競馬データベース - netkeiba,ケイアイブイスリー,18.3,0.5928,10.848,6,False,-1.0
202401010605,2歳新馬｜2024年8月4日 | 競馬データベース - netkeiba,レイラインシチー,20.4,0.5886,12.007,3,False,-1.0
202401010608,3歳以上1勝クラス｜2024年8月4日 | 競馬データベース - netkeiba,マイネルヒッツェ,68.6,0.4921,33.758,8,False,-1.0
202401010609,HTB賞｜2024年8月4日 | 競馬データベース - netkeiba,エリダヌス,4.6,0.6205,2.854,1,True,3.6
202401010610,札幌スポニチ賞｜2024年8月4日 | 競馬データベース - netkeiba,ゴルトリッチ,4.7,0.6203,2.915,9,False,-1.0
202401020101,2歳未勝利｜2024年8月10日 | 競馬データベース - netkeiba,メイショウアゴナス,10.2,0.6092,6.214,6,False,-1.0
202401020102,3歳未勝利｜2024年8月10日 | 競馬データベース - netkeiba,セージグリーン,8.3,0.613,5.088,1,True,7.3
202401020105,2歳新馬｜2024年8月10日 | 競馬データベース - netkeiba,ブライアーヒル,51.6,0.5256,27.121,6,False,-1.0
202401020106,3歳未勝利｜2024年8月10日 | 競馬データベース - netkeiba,テンダーデイズ,8.2,0.6132,5.028,8,False,-1.0
202401020111,報知杯大雪ハンデ｜2024年8月10日 | 競馬データベース - netkeiba,カンピオーネ,6.5,0.6167,4.009,1,True,5.5
202401020112,3歳以上1勝クラス｜2024年8月10日 | 競馬データベース - netkeiba,レザンノワール,9.1,0.6114,5.564,4,False,-1.0
202401020201,2歳未勝利｜2024年8月11日 | 競馬データベース - netkeiba,ラッキーカムカム,6.2,0.6173,3.827,3,False,-1.0
202401020203,3歳未勝利｜2024年8月11日 | 競馬データベース - netkeiba,ヤマニンファリダ,36.7,0.5556,20.391,11,False,-1.0
202401020204,3歳未勝利｜2024年8月11日 | 競馬データベース - netkeiba,コンテナワールド,7.1,0.6155,4.37,11,False,-1.0
202401020205,2歳新馬｜2024年8月11日 | 競馬データベース - netkeiba,コスモリスナー,22.6,0.5841,13.201,7,False,-1.0
202401020208,コスモス賞｜2024年8月11日 | 競馬データベース - netkeiba,パルヴェニュー,56.9,0.5151,29.309,5,False,-1.0
202401020301,2歳未勝利｜2024年8月17日 | 競馬データベース - netkeiba,マイネルトラオム,44.9,0.5391,24.206,6,False,-1.0
202401020302,2歳未勝利｜2024年8月17日 | 競馬データベース - netkeiba,トリプレーテ,11.9,0.6058,7.209,5,False,-1.0
202401020305,2歳新馬｜2024年8月17日 | 競馬データベース - netkeiba,ワールドキッス,13.1,0.6033,7.903,2,False,-1.0
202401020307,3歳未勝利｜2024年8月17日 | 競馬データベース - netkeiba,アイヲコメテ,12.6,0.6043,7.614,6,False,-1.0
202401020308,3歳以上1勝クラス｜2024年8月17日 | 競馬データベース - netkeiba,ゴットリープ,56.3,0.5163,29.068,6,False,-1.0
202401020310,富良野特別｜2024年8月17日 | 競馬データベース - netkeiba,ノーブルスカイ,16.2,0.5971,9.673,3,False,-1.0
202401020312,3歳以上1勝クラス｜2024年8月17日 | 競馬データベース - netkeiba,プルーヴンウィナー,7.5,0.6147,4.61,4,False,-1.0
202401020401,2歳未勝利｜2024年8月18日 | 競馬データベース - netkeiba,セイウンピカイチ,57.2,0.5145,29.429,6,False,-1.0
202401020402,3歳未勝利｜2024年8月18日 | 競馬データベース - netkeiba,ヴァンセゾニエ,8.7,0.6122,5.326,2,False,-1.0
202401020405,2歳新馬｜2024年8月18日 | 競馬データベース - netkeiba,シャイニーシップ,53.1,0.5227,27.755,9,False,-1.0
202401020406,3歳以上1勝クラス｜2024年8月18日 | 競馬データベース - netkeiba,アルデドゥオーモ,17.9,0.5936,10.625,10,False,-1.0
202401020407,3歳以上1勝クラス｜2024年8月18日 | 競馬データベース - netkeiba,コスモエスメラルダ,41.0,0.5469,22.423,5,False,-1.0
202401020408,クローバー賞｜2024年8月18日 | 競馬データベース - netkeiba,エイシンマジョリカ,84.6,0.4613,39.026,6,False,-1.0
202401020410,知床特別｜2024年8月18日 | 競馬データベース - netkeiba,ミズノコキュウ,15.0,0.5995,8.992,11,False,-1.0
202401020411,札幌記念｜2024年8月18日 | 競馬データベース - netkeiba,ステラヴェローチェ,13.4,0.6027,8.076,3,False,-1.0
202401020501,2歳未勝利｜2024年8月24日 | 競馬データベース - netkeiba,ナンナンプー,22.1,0.5851,12.931,5,False,-1.0
202401020502,2歳未勝利｜2024年8月24日 | 競馬データベース - netkeiba,コスモリスナー,78.4,0.4731,37.091,8,False,-1.0
202401020504,3歳未勝利｜2024年8月24日 | 競馬データベース - netkeiba,マーシャルテイル,67.5,0.4942,33.358,5,False,-1.0
202401020505,2歳新馬｜2024年8月24日 | 競馬データベース - netkeiba,プルシャプラ,21.4,0.5865,12.551,9,False,-1.0
202401020507,3歳以上1勝クラス｜2024年8月24日 | 競馬データベース - netkeiba,ダイスアローリング,29.2,0.5707,16.664,11,False,-1.0
202401020508,3歳以上1勝クラス｜2024年8月24日 | 競馬データベース - netkeiba,アイヲコメテ,37.7,0.5535,20.867,6,False,-1.0
202401020509,ルスツ特別｜2024年8月24日 | 競馬データベース - netkeiba,テイキットイージー,20.1,0.5892,11.843,11,False,-1.0
202401020510,オールスターJ第1戦｜2024年8月24日 | 競馬データベース - netkeiba,カイカノキセキ,10.9,0.6078,6.625,6,False,-1.0
202401020511,オールスターJ第2戦｜2024年8月24日 | 競馬データベース - netkeiba,ナックイルシーブ,8.4,0.6128,5.148,6,False,-1.0
202401020601,2歳未勝利｜2024年8月25日 | 競馬データベース - netkeiba,リンゲルブルーメ,23.6,0.5821,13.738,2,False,-1.0
202401020605,2歳新馬｜2024年8月25日 | 競馬データベース - netkeiba,リアライズハロック,40.0,0.5489,21.956,7,False,-1.0
202401020606,3歳未勝利｜2024年8月25日 | 競馬データベース - netkeiba,アラタマフェーヴル,32.1,0.5649,18.133,4,False,-1.0
202401020609,小樽特別｜2024年8月25日 | 競馬データベース - netkeiba,スプリングデイ,18.4,0.5926,10.904,3,False,-1.0
