variant,bin_type,bin_index,bin_label,count,avg_pred,actual_rate,gap,bias,model_minus_actual,avg_odds,implied_prob,model_minus_market
raw,confidence,0,0.0-0.1,259,0.056578,0.023166,0.033412,OVERCONFIDENCE,0.033412,,,
raw,confidence,1,0.1-0.2,199,0.138936,0.070352,0.068584,OVERCONFIDENCE,0.068584,,,
raw,confidence,2,0.2-0.3,78,0.241777,0.166667,0.07511,OVERCONFIDENCE,0.07511,,,
raw,confidence,3,0.3-0.4,23,0.3248,0.130435,0.194365,OVERCONFIDENCE,0.194365,,,
raw,odds,2,2.5-4,2,0.37595,0.0,0.37595,OVERCONFIDENCE,0.37595,3.65,0.274436,0.101514
raw,odds,3,4-6,52,0.283698,0.230769,0.052929,OVERCONFIDENCE,0.052929,5.015385,0.201812,0.081886
raw,odds,4,6-10,85,0.204509,0.105882,0.098627,OVERCONFIDENCE,0.098627,7.638824,0.133577,0.070933
raw,odds,5,10-20,207,0.119898,0.043478,0.076419,OVERCONFIDENCE,0.076419,14.260386,0.072413,0.047484
raw,odds,6,20-50,160,0.059803,0.0375,0.022303,CALIBRATED,0.022303,31.70875,0.033361,0.026441
raw,odds,7,50+,53,0.025589,0.0,0.025589,CALIBRATED,0.025589,78.020755,0.014218,0.011371
isotonic,confidence,0,0.0-0.1,456,0.035674,0.04386,0.008186,CALIBRATED,-0.008186,,,
isotonic,confidence,1,0.1-0.2,43,0.106723,0.069767,0.036956,OVERCONFIDENCE,0.036956,,,
isotonic,confidence,2,0.2-0.3,49,0.27486,0.22449,0.05037,OVERCONFIDENCE,0.05037,,,
isotonic,confidence,3,0.3-0.4,7,0.357143,0.285714,0.071429,OVERCONFIDENCE,0.071429,,,
isotonic,confidence,7,0.7-0.8,3,0.755797,0.0,0.755797,OVERCONFIDENCE,0.755797,,,
isotonic,confidence,9,0.9-1.0,1,0.999999,0.0,0.999999,OVERCONFIDENCE,0.999999,,,
isotonic,odds,2,2.5-4,2,0.883695,0.0,0.883695,OVERCONFIDENCE,0.883695,3.65,0.274436,0.609259
isotonic,odds,3,4-6,52,0.287624,0.230769,0.056854,OVERCONFIDENCE,0.056854,5.015385,0.201812,0.085812
isotonic,odds,4,6-10,85,0.117905,0.105882,0.012023,CALIBRATED,0.012023,7.638824,0.133577,-0.015671
isotonic,odds,5,10-20,207,0.049535,0.043478,0.006057,CALIBRATED,0.006057,14.260386,0.072413,-0.022878
isotonic,odds,6,20-50,160,0.017717,0.0375,0.019783,CALIBRATED,-0.019783,31.70875,0.033361,-0.015644
isotonic,odds,7,50+,53,0.004862,0.0,0.004862,CALIBRATED,0.004862,78.020755,0.014218,-0.009356
platt,confidence,0,0.0-0.1,427,0.035695,0.042155,0.006459,CALIBRATED,-0.006459,,,
platt,confidence,1,0.1-0.2,93,0.145739,0.107527,0.038212,OVERCONFIDENCE,0.038212,,,
platt,confidence,2,0.2-0.3,33,0.244971,0.242424,0.002547,CALIBRATED,0.002547,,,
platt,confidence,3,0.3-0.4,6,0.327842,0.0,0.327842,OVERCONFIDENCE,0.327842,,,
platt,odds,2,2.5-4,2,0.35728,0.0,0.35728,OVERCONFIDENCE,0.35728,3.65,0.274436,0.082844
platt,odds,3,4-6,52,0.228214,0.230769,0.002555,CALIBRATED,-0.002555,5.015385,0.201812,0.026403
platt,odds,4,6-10,85,0.133786,0.105882,0.027904,CALIBRATED,0.027904,7.638824,0.133577,0.000209
platt,odds,5,10-20,207,0.056193,0.043478,0.012715,CALIBRATED,0.012715,14.260386,0.072413,-0.01622
platt,odds,6,20-50,160,0.018713,0.0375,0.018787,CALIBRATED,-0.018787,31.70875,0.033361,-0.014648
platt,odds,7,50+,53,0.005042,0.0,0.005042,CALIBRATED,0.005042,78.020755,0.014218,-0.009176
