race_id,race_title,horse_name,odds,pred_prob,expected_value,actual_pos,hit,pnl,expected_profit,realized_profit,realized_roi_pct,expected_roi_pct,calibration_gap,edge_error,race_class,market_regime
202401010101,2歳未勝利｜2024年7月20日 | 競馬データベース - netkeiba,ロードヴァルカン,21.3,0.0679,1.446,5,0,-1.0,0.44599999999999995,-1.0,0.0,144.6,0.0679,1.446,MAIDEN,DEEP_LONGSHOT
202401010105,2歳新馬｜2024年7月20日 | 競馬データベース - netkeiba,イフウドウドウ,5.3,0.2481,1.315,9,0,-1.0,0.31499999999999995,-1.0,0.0,131.5,0.2481,1.315,DEBUT,BALANCED
202401010108,3歳以上1勝クラス｜2024年7月20日 | 競馬データベース - netkeiba,アイスリンディ,17.7,0.0773,1.368,9,0,-1.0,0.3680000000000001,-1.0,0.0,136.8,0.0773,1.368,CLASS_1W,LONGSHOT
202401010111,TVh賞｜2024年7月20日 | 競馬データベース - netkeiba,エイシンフェンサー,4.5,0.2979,1.341,1,1,3.5,0.34099999999999997,3.5,450.0,134.1,0.7021,-3.159,SPECIAL,BALANCED
202401010201,2歳未勝利｜2024年7月21日 | 競馬データベース - netkeiba,トゥインクルアップ,19.6,0.0768,1.505,4,0,-1.0,0.5049999999999999,-1.0,0.0,150.5,0.0768,1.505,MAIDEN,LONGSHOT
202401010203,3歳未勝利｜2024年7月21日 | 競馬データベース - netkeiba,ミニマルデザイン,15.8,0.0871,1.376,11,0,-1.0,0.3759999999999999,-1.0,0.0,137.6,0.0871,1.376,MAIDEN,LONGSHOT
202401010204,3歳未勝利｜2024年7月21日 | 競馬データベース - netkeiba,アドアプローズ,47.4,0.0281,1.332,6,0,-1.0,0.3320000000000001,-1.0,0.0,133.20000000000002,0.0281,1.332,MAIDEN,DEEP_LONGSHOT
202401010205,2歳新馬｜2024年7月21日 | 競馬データベース - netkeiba,キングスコール,5.7,0.2587,1.475,1,1,4.7,0.4750000000000001,4.7,570.0,147.5,0.7413000000000001,-4.225,DEBUT,BALANCED
202401010209,HBC賞｜2024年7月21日 | 競馬データベース - netkeiba,ミズノコキュウ,22.0,0.0827,1.819,4,0,-1.0,0.819,-1.0,0.0,181.9,0.0827,1.819,SPECIAL,DEEP_LONGSHOT
202401010210,大倉山特別｜2024年7月21日 | 競馬データベース - netkeiba,ゴールデンマイク,41.0,0.0381,1.562,8,0,-1.0,0.562,-1.0,0.0,156.20000000000002,0.0381,1.562,SPECIAL,DEEP_LONGSHOT
202401010301,2歳未勝利｜2024年7月27日 | 競馬データベース - netkeiba,ガンバルマン,12.6,0.1433,1.806,6,0,-1.0,0.806,-1.0,0.0,180.6,0.1433,1.806,MAIDEN,LONGSHOT
202401010303,3歳未勝利｜2024年7月27日 | 競馬データベース - netkeiba,ヘザルフェン,5.4,0.303,1.636,2,0,-1.0,0.6359999999999999,-1.0,0.0,163.6,0.303,1.636,MAIDEN,BALANCED
202401010305,2歳新馬｜2024年7月27日 | 競馬データベース - netkeiba,アルハイルフォート,16.5,0.079,1.304,7,0,-1.0,0.30400000000000005,-1.0,0.0,130.4,0.079,1.304,DEBUT,LONGSHOT
202401010308,3歳以上1勝クラス｜2024年7月27日 | 競馬データベース - netkeiba,リュクスドレフォン,8.4,0.1631,1.37,3,0,-1.0,0.3700000000000001,-1.0,0.0,137.0,0.1631,1.37,CLASS_1W,LONGSHOT
202401010309,積丹特別｜2024年7月27日 | 競馬データベース - netkeiba,アスクナサニエル,44.9,0.0461,2.07,8,0,-1.0,1.0699999999999998,-1.0,0.0,206.99999999999997,0.0461,2.07,SPECIAL,DEEP_LONGSHOT
202401010310,摩周湖特別｜2024年7月27日 | 競馬データベース - netkeiba,メタルスピード,7.7,0.1936,1.491,2,0,-1.0,0.4910000000000001,-1.0,0.0,149.10000000000002,0.1936,1.491,SPECIAL,BALANCED
202401010312,3歳以上2勝クラス｜2024年7月27日 | 競馬データベース - netkeiba,スコーピオン,10.2,0.1345,1.372,3,0,-1.0,0.3720000000000001,-1.0,0.0,137.20000000000002,0.1345,1.372,CLASS_2W,LONGSHOT
