top_fraction,bets,realized_roi_pct,expected_roi_pct,total_profit,avg_expected_value,avg_expected_profit,avg_realized_profit
0.05,93,0.0,286.28,-93.0,2.8628,1.8628,-1.0
0.1,186,37.8,258.99,-115.7,2.5899,1.5899,-0.622
0.15,279,25.2,243.06,-208.7,2.4306,1.4306,-0.748
0.2,372,27.23,231.83,-270.7,2.3183,1.3183,-0.7277
0.25,465,42.84,223.19,-265.8,2.2319,1.2319,-0.5716
0.3,558,40.34,216.17,-332.9,2.1617,1.1617,-0.5966
0.35,651,58.33,210.12,-271.3,2.1012,1.1012,-0.4167
0.4,744,57.55,204.82,-315.8,2.0482,1.0482,-0.4245
0.45,837,54.61,200.17,-379.9,2.0017,1.0017,-0.4539
0.5,930,54.15,196.02,-426.4,1.9602,0.9602,-0.4585
0.55,1024,62.6,192.24,-383.0,1.9224,0.9224,-0.374
0.6,1117,66.45,188.84,-374.7,1.8884,0.8884,-0.3355
0.65,1210,68.24,185.7,-384.3,1.857,0.857,-0.3176
0.7,1303,65.03,182.79,-455.7,1.8279,0.8279,-0.3497
0.75,1396,65.85,180.07,-476.8,1.8007,0.8007,-0.3415
0.8,1489,66.58,177.52,-497.6,1.7752,0.7752,-0.3342
0.85,1582,67.14,175.13,-519.8,1.7513,0.7513,-0.3286
0.9,1675,70.27,172.89,-498.0,1.7289,0.7289,-0.2973
0.95,1768,70.04,170.78,-529.7,1.7078,0.7078,-0.2996
1.0,1862,72.62,168.77,-509.8,1.6877,0.6877,-0.2738
