step,equity,peak,drawdown,uncertainty_score,odds,regime_label,drawdown_pct
0,-1.0,-1.0,0.0,0.304019,21.3,DEEP_LONGSHOT,-0.0
1,-2.0,-1.0,-1.0,0.529126,5.3,BALANCED,1.0
2,-3.0,-1.0,-2.0,0.321297,17.7,LONGSHOT,2.0
3,0.5,0.5,0.0,0.564354,4.5,BALANCED,0.0
4,-0.5,0.5,-1.0,0.320401,19.6,LONGSHOT,-2.0
5,-1.5,0.5,-2.0,0.338358,15.8,LONGSHOT,-4.0
6,-2.5,0.5,-3.0,0.217386,47.4,DEEP_LONGSHOT,-6.0
7,2.2,2.2,0.0,0.537389,5.7,BALANCED,0.0
8,1.2000000000000002,2.2,-1.0,0.330811,22.0,DEEP_LONGSHOT,-0.45454545454545453
9,0.20000000000000018,2.2,-2.0,0.241756,41.0,DEEP_LONGSHOT,-0.9090909090909091
10,-0.7999999999999998,2.2,-3.0,0.421408,12.6,LONGSHOT,-1.3636363636363635
11,-1.7999999999999998,2.2,-4.0,0.567464,5.4,BALANCED,-1.8181818181818181
12,-2.8,2.2,-5.0,0.324323,16.5,LONGSHOT,-2.2727272727272725
13,-3.8,2.2,-6.0,0.445837,8.4,LONGSHOT,-2.727272727272727
14,-4.8,2.2,-7.0,0.259797,44.9,DEEP_LONGSHOT,-3.1818181818181817
15,-5.8,2.2,-8.0,0.479471,7.7,BALANCED,-3.6363636363636362
16,-6.8,2.2,-9.0,0.409826,10.2,LONGSHOT,-4.090909090909091
17,-3.8,2.2,-6.0,0.582002,4.0,LOW_ODDS,-2.727272727272727
18,-4.8,2.2,-7.0,0.262624,29.5,DEEP_LONGSHOT,-3.1818181818181817
19,-5.8,2.2,-8.0,0.551699,4.8,BALANCED,-3.6363636363636362
20,-1.2999999999999998,2.2,-3.5,0.531035,5.5,BALANCED,-1.5909090909090908
21,-2.3,2.2,-4.5,0.228634,48.4,DEEP_LONGSHOT,-2.0454545454545454
22,-3.3,2.2,-5.5,0.254058,32.0,DEEP_LONGSHOT,-2.5
23,-4.3,2.2,-6.5,0.277195,27.5,DEEP_LONGSHOT,-2.954545454545454
24,-5.3,2.2,-7.5,0.225187,44.0,DEEP_LONGSHOT,-3.4090909090909087
25,-6.3,2.2,-8.5,0.513395,5.9,BALANCED,-3.8636363636363633
26,-7.3,2.2,-9.5,0.326618,21.3,DEEP_LONGSHOT,-4.3181818181818175
27,-2.0999999999999996,2.2,-4.3,0.505995,6.2,BALANCED,-1.9545454545454544
28,-3.0999999999999996,2.2,-5.3,0.587361,3.9,LOW_ODDS,-2.4090909090909087
29,6.6,6.6,0.0,0.442991,10.7,LONGSHOT,0.0
30,5.6,6.6,-1.0,0.378854,18.3,LONGSHOT,-0.15151515151515152
31,4.6,6.6,-2.0,0.368404,20.4,DEEP_LONGSHOT,-0.30303030303030304
32,3.5999999999999996,6.6,-3.0,0.196561,68.6,DEEP_LONGSHOT,-0.4545454545454546
33,7.199999999999999,7.199999999999999,0.0,0.570426,4.6,BALANCED,0.0
