_bucket,n_bets,total_stake,total_pnl,mean_ev,mean_prob,roi,hit_rate
"(0.0, 0.1]",870,870.0,-369.0,1.7192735632183909,0.057067241379310345,-0.4241379310344828,0.01954022988505747
"(0.1, 0.2]",663,663.0,-166.9,1.7256289592760183,0.1397574660633484,-0.2517345399698341,0.06485671191553545
"(0.2, 0.3]",259,259.0,27.4,1.5433976833976835,0.24117683397683395,0.10579150579150579,0.1891891891891892
"(0.3, 0.4]",70,70.0,-1.2999999999999998,1.4702285714285714,0.3241457142857143,-0.01857142857142857,0.22857142857142856
"(0.4, 0.5]",0,0.0,0.0,,,,0.0
"(0.5, 0.6]",0,0.0,0.0,,,,0.0
"(0.6, 0.7]",0,0.0,0.0,,,,0.0
"(0.7, 0.8]",0,0.0,0.0,,,,0.0
"(0.8, 0.9]",0,0.0,0.0,,,,0.0
"(0.9, 1.0]",0,0.0,0.0,,,,0.0
