prob_bin,mean_pred,actual_hit_rate,n,abs_gap,weighted_gap
"(0.0, 0.1]",0.057067241379310345,0.01954022988505747,870,0.037527011494252874,0.017534103114930182
"(0.1, 0.2]",0.1397574660633484,0.06485671191553545,663,0.07490075414781296,0.026669817400644464
"(0.2, 0.3]",0.24117683397683395,0.1891891891891892,259,0.051987644787644754,0.007231364124597202
"(0.3, 0.4]",0.3241457142857143,0.22857142857142856,70,0.09557428571428575,0.0035930182599355543
"(0.4, 0.5]",,0.0,0,,
"(0.5, 0.6]",,0.0,0,,
"(0.6, 0.7]",,0.0,0,,
"(0.7, 0.8]",,0.0,0,,
"(0.8, 0.9]",,0.0,0,,
"(0.9, 1.0]",,0.0,0,,
