ev_q,n_bets,mean_ev,total_pnl,total_stake,realized_roi
"(0.999, 94.05]",94,1.3099787234042555,19.9,94.0,0.21170212765957444
"(94.05, 187.1]",93,1.3283118279569892,-26.3,93.0,-0.28279569892473116
"(187.1, 280.15]",93,1.3466666666666667,16.399999999999995,93.0,0.17634408602150534
"(280.15, 373.2]",93,1.368989247311828,-22.2,93.0,-0.23870967741935484
"(373.2, 466.25]",93,1.3929569892473117,-20.8,93.0,-0.22365591397849463
"(466.25, 559.3]",93,1.41952688172043,-21.1,93.0,-0.22688172043010754
"(559.3, 652.35]",93,1.4487096774193546,-71.4,93.0,-0.767741935483871
"(652.35, 745.4]",93,1.4806666666666666,-9.599999999999998,93.0,-0.10322580645161288
"(745.4, 838.45]",93,1.5137311827956987,8.3,93.0,0.08924731182795699
"(838.45, 931.5]",93,1.5479462365591399,44.39999999999999,93.0,0.47741935483870956
"(931.5, 1024.55]",93,1.5859999999999999,-46.5,93.0,-0.5
"(1024.55, 1117.6]",93,1.6295483870967742,-64.1,93.0,-0.689247311827957
"(1117.6, 1210.65]",93,1.6768387096774193,-44.5,93.0,-0.478494623655914
"(1210.65, 1303.7]",93,1.7369892473118278,61.599999999999994,93.0,0.6623655913978495
"(1303.7, 1396.75]",93,1.8103763440860217,-67.1,93.0,-0.721505376344086
"(1396.75, 1489.8]",93,1.8851075268817203,4.9,93.0,0.05268817204301075
"(1489.8, 1582.85]",93,1.980247311827957,-62.0,93.0,-0.6666666666666666
"(1582.85, 1675.9]",93,2.110494623655914,-93.0,93.0,-1.0
"(1675.9, 1768.95]",93,2.3143655913978494,-22.7,93.0,-0.24408602150537634
"(1768.95, 1862.0]",94,2.858223404255319,-94.0,94.0,-1.0
