method,threshold,n_bets,coverage,roi,hit_rate
combined,0.19587,112,0.2004,-0.053571,0.0268
combined,0.260813,225,0.4025,-0.213333,0.0267
combined,0.373741,335,0.5993,-0.315224,0.0299
combined,0.451938,447,0.7996,-0.258389,0.0447
entropy,0.291724,112,0.2004,-0.053571,0.0268
entropy,0.42161,225,0.4025,-0.213333,0.0267
entropy,0.537526,335,0.5993,-0.315224,0.0299
entropy,0.69392,447,0.7996,-0.258389,0.0447
bootstrap,0.005183,259,0.4633,-0.316602,0.0232
bootstrap,0.005183,259,0.4633,-0.316602,0.0232
bootstrap,0.011178,458,0.8193,-0.276201,0.0437
bootstrap,0.011178,458,0.8193,-0.276201,0.0437
conformal,0.08965,259,0.4633,-0.316602,0.0232
conformal,0.08965,259,0.4633,-0.316602,0.0232
conformal,0.1876,458,0.8193,-0.276201,0.0437
conformal,0.1876,458,0.8193,-0.276201,0.0437
